Fraction of score | Absolute score | Amount | Activity
0001 | 8.479 |     1 | 'Succinic acid production (corn)' (kg, None, None)
;0001 | 8.479 |     1 | 'Purification (corn)' (kg, None, None)
;;-0.148 | -1.254 | -1.36 | 'market for ammonium sulfate' (kilogram, RER, None)
;;;-0.143 | -1.214 | -1.36 | 'ammonium sulfate production' (kilogram, RER, None)
;;;;-0.119 | -1.005 | -0.3609 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;;;-0.0587 | -0.4975 | -0.1951 | 'ammonia production, steam reforming, liquid' (kilogram, RER w/o RU, None)
;;;;;-0.0587 | -0.4973 | -0.1659 | 'ammonia production, steam reforming, liquid' (kilogram, RU, None)
;;0.135 | 1.142 |  0.41 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;0.0667 | 0.5651 | 0.2216 | 'ammonia production, steam reforming, liquid' (kilogram, RER w/o RU, None)
;;;0.0666 | 0.5649 | 0.1884 | 'ammonia production, steam reforming, liquid' (kilogram, RU, None)
;;0.982 | 8.323 |     1 | 'Bacterial fermentation (corn)' (kg, None, None)
;;;0.958 | 8.124 |     1 | 'Pre-treatment (corn)' (kg, None, None)
;;;;0.479 | 4.065 |  1.66 | 'market for sweet sorghum grain' (kilogram, GLO, None)
;;;;;0.48 | 4.071 |  1.66 | 'sweet sorghum grain to generic market for energy feed' (kilogram, GLO, None)
;;;;;;-0.0553 | -0.469 | 26.43 | 'market for energy feed, gross' (megajoule, RoW, None)
;;;;;;;-0.0553 | -0.469 | 26.43 | 'barley grain to generic market for energy feed' (megajoule, GLO, None)
;;;;;;;;0.103 | 0.8752 | 1.698 | 'market for barley grain' (kilogram, GLO, None)
;;;;;;;;;0.0801 | 0.6791 |  1.37 | 'barley production' (kilogram, RoW, None)
;;;;;;;;-0.159 | -1.344 | -0.1698 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;;;-0.159 | -1.344 | -0.1698 | 'soybean meal to generic market for protein feed' (kilogram, GLO, None)
;;;;;;;;;;-0.132 | -1.123 | -0.3035 | 'market for soybean meal' (kilogram, RoW, None)
;;;;;;0.535 | 4.538 | 0.5734 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;0.535 | 4.538 | 0.5734 | 'soybean meal to generic market for protein feed' (kilogram, GLO, None)
;;;;;;;;0.447 | 3.791 | 1.025 | 'market for soybean meal' (kilogram, RoW, None)
;;;;;;;;;0.0532 | 0.4508 | 0.09886 | 'soybean meal and crude oil production' (kilogram, RER, None)
;;;;;;;;;;0.0578 | 0.4903 | 0.1204 | 'market for soybean' (kilogram, RoW, None)
;;;;;;;;;0.378 | 3.209 | 0.6756 | 'soybean meal and crude oil production' (kilogram, RoW, None)
;;;;;;;;;;0.412 | 3.495 | 0.8581 | 'market for soybean' (kilogram, RoW, None)
;;;;0.453 | 3.842 |     2 | 'market for glucose' (kilogram, GLO, None)
;;;;;0.356 | 3.019 | 1.652 | 'glucose production' (kilogram, RoW, None)
;;;;;;0.251 |  2.13 | 1.487 | 'market for maize starch' (kilogram, GLO, None)
;;;;;;;0.234 | 1.985 |  1.48 | 'maize starch production' (kilogram, RoW, None)
;;;;;;;;0.121 | 1.023 | 1.752 | 'market for maize grain' (kilogram, RoW, None)
;;;;;;;;;0.0652 | 0.5527 | 0.9047 | 'maize grain production, rainfed' (kilogram, RoW, None)
;;;;;0.0757 | 0.6418 | 0.348 | 'glucose production' (kilogram, RER, None)
;;;;;;0.0529 | 0.4487 | 0.3132 | 'market for maize starch' (kilogram, GLO, None)
