Fraction of score | Absolute score | Amount | Activity
0001 | -11.69 |     1 | 'Succinic acid production (bread)' (kg, None, None)
;0001 | -11.69 |     1 | 'Purification' (kg, None, None)
;;-0.217 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;-0.217 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;-0.217 |  2.54 | 20.16 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;-0.1 | 1.172 | 8.142 | 'market for sodium chloride, brine solution' (kilogram, GLO, None)
;;;-0.069 | 0.8068 |  5.45 | 'sodium chloride production, brine solution' (kilogram, RoW, None)
;;;;-0.0331 | 0.3864 | 2.18e-09 | 'market for chemical factory, organics' (unit, GLO, None)
;;;;-0.018 | 0.2109 | 0.2871 | 'market group for electricity, medium voltage' (kilowatt hour, RAS, None)
;;;-0.0313 | 0.3656 | 2.692 | 'sodium chloride production, brine solution' (kilogram, RER, None)
;;;;-0.015 | 0.1756 | 1.077e-09 | 'chemical factory construction, organics' (unit, RER, None)
;;1.83 | -21.36 | -5.772 | 'market for soybean meal' (kilogram, RoW, None)
;;;0.0206 | -0.2412 | -0.0894 | 'soybean meal and crude oil production, mechanical extraction' (kilogram, RoW, None)
;;;;0.0241 | -0.2818 | -0.06918 | 'market for soybean' (kilogram, RoW, None)
;;;0.217 | -2.54 | -0.5569 | 'soybean meal and crude oil production' (kilogram, RER, None)
;;;;0.236 | -2.762 | -0.678 | 'market for soybean' (kilogram, RoW, None)
;;;;-0.0252 | 0.2952 | 0.1211 | 'market for soybean oil, crude' (kilogram, GLO, None)
;;;1.55 | -18.08 | -3.806 | 'soybean meal and crude oil production' (kilogram, RoW, None)
;;;;0.014 | -0.1639 | -0.2231 | 'market group for electricity, medium voltage' (kilowatt hour, RAS, None)
;;;;0.0208 | -0.2427 | -3.112 | 'market for heat, district or industrial, natural gas' (megajoule, RoW, None)
;;;;0.0146 | -0.1704 | -1.425 | 'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)
;;;;1.68 | -19.69 | -4.834 | 'market for soybean' (kilogram, RoW, None)
;;;;-0.188 | 2.199 | 0.9021 | 'market for soybean oil, crude' (kilogram, GLO, None)
;;;0.0207 | -0.2418 | -1.56 | 'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)
;;-0.508 | 5.935 |     1 | 'Bacterial fermentation' (kg, None, None)
;;;-0.217 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;-0.217 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;-0.0121 | 0.1414 | 0.106 | 'sodium hydroxide to generic market for neutralising agent' (kilogram, GLO, None)
;;;;-0.0121 | 0.1414 | 0.106 | 'market for neutralising agent, sodium hydroxide-equivalent' (kilogram, GLO, None)
;;;-0.0277 | 0.324 | 0.148 | 'magnesium oxide production' (kilogram, RER, None)
;;;-0.234 | 2.738 |     1 | 'Pre-treatment' (kg, None, None)
;;;;-0.213 | 2.494 |   7.2 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;-0.0168 | 0.1969 | 0.1826 | 'market for carbon dioxide, liquid' (kilogram, RER, None)
;;;-0.0128 | 0.1499 | 0.139 | 'market for carbon dioxide, liquid' (kilogram, RER, None)
;;;;-0.0128 | 0.1493 | 0.139 | 'carbon dioxide production, liquid' (kilogram, RER, None)
