Fraction of score | Absolute score | Amount | Activity
0001 |  12.6 |     1 | 'Succinic acid production (corn)' (kg, None, None)
;0001 |  12.6 |     1 | 'Purification (corn)' (kg, None, None)
;;-0.199 | -2.508 | -2.72 | 'market for ammonium sulfate' (kilogram, RER, None)
;;;-0.193 | -2.428 | -2.72 | 'ammonium sulfate production' (kilogram, RER, None)
;;;;-0.16 | -2.011 | -0.7219 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;;-0.0669 | -0.8427 | -5.168e-09 | 'chemical factory construction, organics' (unit, RER, None)
;;;;-0.0101 | -0.1269 | -0.5361 | 'market group for electricity, medium voltage' (kilowatt hour, RER, None)
;;;;0.0438 | 0.5523 | -2.068 | 'market for sulfuric acid' (kilogram, RER, None)
;;0.0169 | 0.213 |   0.9 | 'market group for electricity, medium voltage' (kilowatt hour, RER, None)
;;;0.0167 | 0.2103 | 0.8868 | 'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)
;;0.0906 | 1.142 |  0.41 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;0.0448 | 0.5651 | 0.2216 | 'ammonia production, steam reforming, liquid' (kilogram, RER w/o RU, None)
;;;;0.0135 | 0.1699 |  2.26 | 'heat production, natural gas, at boiler modulating >100kW' (megajoule, Europe without Switzerland, 
;;;0.0448 | 0.5649 | 0.1884 | 'ammonia production, steam reforming, liquid' (kilogram, RU, None)
;;;;0.0172 | 0.2167 | 2.951 | 'heat production, natural gas, at boiler modulating >100kW' (megajoule, RoW, None)
;;1.09 | 13.75 |     1 | 'Bacterial fermentation (corn)' (kg, None, None)
;;;0.0169 | 0.213 |   0.9 | 'market group for electricity, medium voltage' (kilowatt hour, RER, None)
;;;;0.0167 | 0.2103 | 0.8868 | 'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)
;;;1.07 | 13.53 |     1 | 'Pre-treatment (corn)' (kg, None, None)
;;;;0.322 | 4.065 |  1.66 | 'market for sweet sorghum grain' (kilogram, GLO, None)
;;;;0.19 | 2.397 |   1.3 | 'glucose production' (kilogram, RER, None)
;;;;0.0169 | 0.213 |   0.9 | 'market group for electricity, medium voltage' (kilowatt hour, RER, None)
;;;;0.54 | 6.807 | 22.23 | 'steam production, in chemical industry' (kilogram, RER, None)
