LCIA score; Inventory amount; Biosphere flow
-18.470489929171336; -18.47048992917133; 'Carbon dioxide, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
5.787022877855862; 5.787022877855863; 'Carbon dioxide, fossil' (kilogram, None, ('air', 'urban air close to ground'))
1.4720306351408114; 1.4720306351408114; 'Carbon dioxide, from soil or biomass stock' (kilogram, None, ('air',))
-0.9998291810796476; -0.003775790132820378; 'Dinitrogen monoxide' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.6831835818800299; 0.6831835818800296; 'Carbon dioxide, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.536798169199376; 0.01807401196666663; 'Methane, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.33836325698541136; -0.08329147013998164; 'Carbon monoxide, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.16690486052720196; -0.16690486052720208; 'Carbon dioxide, fossil' (kilogram, None, ('air',))
-0.16174563123513475; -0.005445980709770409; 'Methane, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.0915018161852608; -0.0032105900415880994; 'Methane, non-fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.07414864029068367; 0.0024965871510417123; 'Methane, fossil' (kilogram, None, ('air', 'urban air close to ground'))
-0.04021503263678787; 0.04021503263678787; 'Carbon dioxide, to soil or biomass stock' (kilogram, None, ('soil',))
0.00860099559284792; 0.0021172203329000746; 'Carbon monoxide, fossil' (kilogram, None, ('air', 'urban air close to ground'))
0.004015426035014231; 1.7081961667435652e-07; 'Sulfur hexafluoride' (kilogram, None, ('air',))
0.0033223491491446836; 1.2546636337997977e-05; 'Dinitrogen monoxide' (kilogram, None, ('air',))
0.0023210680501904142; 0.0005713539109349442; 'Carbon monoxide, fossil' (kilogram, None, ('air',))
0.002228796162625568; 3.363824441267281e-07; 'Methane, tetrafluoro-, R-14' (kilogram, None, ('air',))
0.00175154963887818; 6.614613744799738e-06; 'Dinitrogen monoxide' (kilogram, None, ('air', 'urban air close to ground'))
0.0015066442607791079; 1.4714423028129075e-07; 'Methane, dichlorodifluoro-, CFC-12' (kilogram, None, ('air', 'urban air close to ground'))
-0.0013522539013388392; -0.0003328707036588606; 'Carbon monoxide, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.0011595441660867364; -4.0685760213569735e-05; 'Methane, non-fossil' (kilogram, None, ('air', 'urban air close to ground'))
0.0009985322642795005; 0.0004008559973947739; 'Carbon monoxide, non-fossil' (kilogram, None, ('air', 'urban air close to ground'))
0.00061929324781494; 4.995265794993603e-08; 'Methane, trifluoro-, HFC-23' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.0005912957905274503; 5.3157378702428745e-08; 'Ethane, hexafluoro-, HFC-116' (kilogram, None, ('air', 'urban air close to ground'))
0.00029120925996751167; 9.805025336258287e-06; 'Methane, fossil' (kilogram, None, ('air',))
