Fraction of score | Absolute score | Amount | Activity
0001 | -26.19 |     1 | 'Succinic acid production (bread)' (kg, None, None)
;0001 | -26.19 |     1 | 'Purification (bread)' (kg, None, None)
;;0.816 | -21.36 | -5.772 | 'market for soybean meal' (kilogram, RoW, None)
;;;0.097 | -2.54 | -0.5569 | 'soybean meal and crude oil production' (kilogram, RER, None)
;;;;0.105 | -2.762 | -0.678 | 'market for soybean' (kilogram, RoW, None)
;;;;;0.0616 | -1.614 | -0.322 | 'soybean production' (kilogram, RoW, None)
;;;0.69 | -18.08 | -3.806 | 'soybean meal and crude oil production' (kilogram, RoW, None)
;;;;0.752 | -19.69 | -4.834 | 'market for soybean' (kilogram, RoW, None)
;;;;;0.439 | -11.51 | -2.296 | 'soybean production' (kilogram, RoW, None)
;;;;;0.287 | -7.504 | -1.304 | 'soybean production' (kilogram, AR, None)
;;;;;;0.273 | -7.142 | -0.0003644 | 'market for land use change, annual crop' (hectare, AR, None)
;;;;;;;0.273 | -7.142 | -0.0003644 | 'land use change, annual crop' (hectare, AR, None)
;;;;;;;;0.254 | -6.658 | -0.1478 | 'market for land tenure, arable land, measured as carbon net primary productivity, annual crop'
;;;;;;;;;0.233 | -6.109 | -0.1138 | 'clear-cutting, secondary forest to arable land, annual crop' (kilogram, AR, None)
;;;;-0.084 | 2.199 | 0.9021 | 'market for soybean oil, crude' (kilogram, GLO, None)
;;;;;-0.084 | 2.199 | 0.9021 | 'soybean oil refinery operation' (kilogram, RoW, None)
;;;;;;-0.115 | 3.004 | 0.8658 | 'market for soybean oil, refined' (kilogram, GLO, None)
;;;;;;;-0.113 | 2.972 | 0.8658 | 'soybean oil, refined, to generic market for vegetable oil, refined' (kilogram, GLO, None)
;;;;;;;;-0.113 | 2.972 | 0.8658 | 'market for vegetable oil, refined' (kilogram, GLO, None)
;;;;;;;;;-0.111 | 2.908 | 0.8658 | 'palm oil, refined, to generic market for vegetable oil, refined' (kilogram, GLO, None)
;;;;;;;;;;-0.111 | 2.908 | 0.8658 | 'market for palm oil, refined' (kilogram, GLO, None)
;;-0.228 | 5.958 |     1 | 'Bacterial fermentation (bread)' (kg, None, None)
;;;-0.0984 | 2.577 |     1 | 'Pre-treatment (bread)' (kg, None, None)
;;;;-0.0953 | 2.494 |   7.2 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;;-0.0953 | 2.494 |   7.2 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;;;-0.0953 | 2.494 |  19.8 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;;;-0.0953 | 2.494 |  19.8 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;;-0.097 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;-0.097 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;;-0.097 |  2.54 | 20.16 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;;-0.097 |  2.54 | 20.16 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;-0.097 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;-0.097 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;-0.097 |  2.54 | 20.16 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;-0.097 |  2.54 | 20.16 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;0.557 | -14.57 |    62 | 'treatment of wastewater, average, wastewater treatment' (cubic meter, Europe without Switzerland, None
;;;0.143 | -3.742 | -15.78 | 'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)
;;;;0.0534 | -1.399 | -2.344 | 'market for electricity, medium voltage' (kilowatt hour, UA, None)
;;;;;0.053 | -1.388 | -2.344 | 'electricity voltage transformation from high to medium voltage' (kilowatt hour, UA, None)
;;;;;;0.053 | -1.388 | -2.367 | 'market for electricity, high voltage' (kilowatt hour, UA, None)
;;;0.133 | -3.477 | 7.022 | 'market for sewage sludge, 75% water, WWT, WW, average' (kilogram, Europe without Switzerland, None)
;;;;0.13 | -3.395 | 7.022 | 'treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill' (kilogram, Europe without
