Fraction of score | Absolute score | Amount | Activity
0001 | 9.701 |     1 | 'Succinic acid production (corn)' (kg, None, None)
;0001 | 9.701 |     1 | 'Purification (corn)' (kg, None, None)
;;0.118 | 1.142 |  0.41 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;0.0583 | 0.5651 | 0.2216 | 'ammonia production, steam reforming, liquid' (kilogram, RER w/o RU, None)
;;;0.0582 | 0.5649 | 0.1884 | 'ammonia production, steam reforming, liquid' (kilogram, RU, None)
;;0.858 | 8.323 |     1 | 'Bacterial fermentation (corn)' (kg, None, None)
;;;0.837 | 8.124 |     1 | 'Pre-treatment (corn)' (kg, None, None)
;;;;0.419 | 4.065 |  1.66 | 'market for sweet sorghum grain' (kilogram, GLO, None)
;;;;;0.42 | 4.071 |  1.66 | 'sweet sorghum grain to generic market for energy feed' (kilogram, GLO, None)
;;;;;;0.468 | 4.538 | 0.5734 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;0.468 | 4.538 | 0.5734 | 'soybean meal to generic market for protein feed' (kilogram, GLO, None)
;;;;;;;;0.391 | 3.791 | 1.025 | 'market for soybean meal' (kilogram, RoW, None)
;;;;;;;;;0.331 | 3.209 | 0.6756 | 'soybean meal and crude oil production' (kilogram, RoW, None)
;;;;;;;;;;0.36 | 3.495 | 0.8581 | 'market for soybean' (kilogram, RoW, None)
;;;;0.396 | 3.842 |     2 | 'market for glucose' (kilogram, GLO, None)
;;;;;0.311 | 3.019 | 1.652 | 'glucose production' (kilogram, RoW, None)
;;;;;;0.22 |  2.13 | 1.487 | 'market for maize starch' (kilogram, GLO, None)
;;;;;;;0.205 | 1.985 |  1.48 | 'maize starch production' (kilogram, RoW, None)
;;;;;;;;0.105 | 1.023 | 1.752 | 'market for maize grain' (kilogram, RoW, None)
;;;;;;;;;0.057 | 0.5527 | 0.9047 | 'maize grain production, rainfed' (kilogram, RoW, None)
;;;;;0.0662 | 0.6418 | 0.348 | 'glucose production' (kilogram, RER, None)
