Fraction of score | Absolute score | Amount | Activity
0001 | 9.178 |     1 | 'Succinic acid production (corn)' (kg, None, None)
;0001 | 9.178 |     1 | 'Purification (corn)' (kg, None, None)
;;0.124 | 1.142 |  0.41 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;0.0616 | 0.5651 | 0.2216 | 'ammonia production, steam reforming, liquid' (kilogram, RER w/o RU, None)
;;;0.0615 | 0.5649 | 0.1884 | 'ammonia production, steam reforming, liquid' (kilogram, RU, None)
;;0.872 | 8.001 |     1 | 'Bacterial fermentation (corn)' (kg, None, None)
;;;0.867 | 7.961 |     1 | 'Pre-treatment (corn)' (kg, None, None)
;;;;0.443 | 4.065 |  1.66 | 'market for sweet sorghum grain' (kilogram, GLO, None)
;;;;;0.444 | 4.071 |  1.66 | 'sweet sorghum grain to generic market for energy feed' (kilogram, GLO, None)
;;;;;;-0.0511 | -0.469 | 26.43 | 'market for energy feed, gross' (megajoule, RoW, None)
;;;;;;;-0.0511 | -0.469 | 26.43 | 'barley grain to generic market for energy feed' (megajoule, GLO, None)
;;;;;;;;0.0954 | 0.8752 | 1.698 | 'market for barley grain' (kilogram, GLO, None)
;;;;;;;;;0.074 | 0.6791 |  1.37 | 'barley production' (kilogram, RoW, None)
;;;;;;;;-0.146 | -1.344 | -0.1698 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;;;-0.146 | -1.344 | -0.1698 | 'soybean meal to generic market for protein feed' (kilogram, GLO, None)
;;;;;;;;;;-0.122 | -1.123 | -0.3035 | 'market for soybean meal' (kilogram, RoW, None)
;;;;;;0.494 | 4.538 | 0.5734 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;0.494 | 4.538 | 0.5734 | 'soybean meal to generic market for protein feed' (kilogram, GLO, None)
;;;;;;;;0.413 | 3.791 | 1.025 | 'market for soybean meal' (kilogram, RoW, None)
;;;;;;;;;0.35 | 3.209 | 0.6756 | 'soybean meal and crude oil production' (kilogram, RoW, None)
;;;;;;;;;;0.381 | 3.495 | 0.8581 | 'market for soybean' (kilogram, RoW, None)
;;;;0.419 | 3.842 |     2 | 'market for glucose' (kilogram, GLO, None)
;;;;;0.329 | 3.019 | 1.652 | 'glucose production' (kilogram, RoW, None)
;;;;;;0.232 |  2.13 | 1.487 | 'market for maize starch' (kilogram, GLO, None)
;;;;;;;0.216 | 1.985 |  1.48 | 'maize starch production' (kilogram, RoW, None)
;;;;;;;;0.111 | 1.023 | 1.752 | 'market for maize grain' (kilogram, RoW, None)
;;;;;;;;;0.0602 | 0.5527 | 0.9047 | 'maize grain production, rainfed' (kilogram, RoW, None)
;;;;;0.0699 | 0.6418 | 0.348 | 'glucose production' (kilogram, RER, None)
