LCIA score; Inventory amount; Biosphere flow
-18.49765755490176;-18.49765755490176;'Carbon dioxide, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
4.854853527768826;4.854853527768827;'Carbon dioxide, fossil' (kilogram, None, ('air', 'urban air close to ground'))
-3.856841634204627;-0.13532777663875878;'Methane, non-fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-3.493425054310378;-3.4934250543103817;'Carbon dioxide, fossil' (kilogram, None, ('air',))
-2.301566798754406;-0.008691717918634727;'Dinitrogen monoxide' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-2.289278362390022;-2.2892783623900215;'Carbon dioxide, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
1.4765059944686212;1.476505994468621;'Carbon dioxide, from soil or biomass stock' (kilogram, None, ('air',))
-1.0071417562372522;-0.0038034055991901182;'Dinitrogen monoxide' (kilogram, None, ('air', 'urban air close to ground'))
-0.3388827410475074;-0.08341934629187758;'Carbon monoxide, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.21924380569486207;-0.007692765112100431;'Methane, non-fossil' (kilogram, None, ('air', 'urban air close to ground'))
-0.2180077099890101;-0.007340326747097161;'Methane, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.161993956890529;-0.005454341842733884;'Methane, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.07163302885758693;0.0024118864315644316;'Methane, fossil' (kilogram, None, ('air', 'urban air close to ground'))
-0.0590763392159642;-0.014542226563323515;'Carbon monoxide, fossil' (kilogram, None, ('air',))
-0.046255050804361576;-0.00017467920293306682;'Dinitrogen monoxide' (kilogram, None, ('air',))
-0.04033702647967155;0.04033702647967155;'Carbon dioxide, to soil or biomass stock' (kilogram, None, ('soil',))
-0.036142841929932154;-1.53754703738952e-06;'Sulfur hexafluoride' (kilogram, None, ('air',))
-0.023438390286164464;-0.005769592130192418;'Carbon monoxide, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.0052768813999494275;0.0012989566700354301;'Carbon monoxide, fossil' (kilogram, None, ('air', 'urban air close to ground'))
-0.0029937293412332336;-0.00010079896512894693;'Methane, fossil' (kilogram, None, ('air',))
-0.0023051712134416658;-0.0009253999484900273;'Carbon monoxide, non-fossil' (kilogram, None, ('air', 'urban air close to ground'))
-0.001556563431525122;-1.255535740890041e-07;'Methane, trifluoro-, HFC-23' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.0014932942703079716;1.4584042279117884e-07;'Methane, dichlorodifluoro-, CFC-12' (kilogram, None, ('air', 'urban air close to ground'))
-0.0013304826370591988;-7.539727883626974e-07;'Methane, chlorodifluoro-, HCFC-22' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.0004396529191929354;3.95247135149057e-08;'Ethane, hexafluoro-, HFC-116' (kilogram, None, ('air', 'urban air close to ground'))
