LCIA score; Inventory amount; Biosphere flow
3.4346334584948366;3.434633458494836;'Carbon dioxide, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
2.1529685848836286;2.152968584883626;'Carbon dioxide, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
1.9249103715419167;1.9249103715419176;'Carbon dioxide, fossil' (kilogram, None, ('air', 'urban air close to ground'))
0.6135504224858553;0.6135504224858556;'Carbon dioxide, fossil' (kilogram, None, ('air',))
0.6040263403994134;0.0022810663453340665;'Dinitrogen monoxide' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.4699005439632864;0.015821566730383468;'Methane, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.29630709705893965;-0.2963070970589397;'Carbon dioxide, from soil or biomass stock' (kilogram, None, ('air',))
0.08171279657770077;0.020114414954042724;'Carbon monoxide, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.07666765395376193;0.00028953042858032057;'Dinitrogen monoxide' (kilogram, None, ('air', 'urban air close to ground'))
0.03906064739169967;0.0013151732790674102;'Methane, from soil or biomass stock' (kilogram, None, ('air', 'non-urban air or from high stacks'))
-0.03381430947506472;-0.001186466999125079;'Methane, non-fossil' (kilogram, None, ('air', 'urban air close to ground'))
0.033408625118675664;0.0011248695037194745;'Methane, fossil' (kilogram, None, ('air', 'urban air close to ground'))
0.021505135417367385;0.0007545661549953469;'Methane, non-fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.015862313207258463;0.0039046656502374558;'Carbon monoxide, fossil' (kilogram, None, ('air',))
0.010823468558806483;0.0026643040864089093;'Carbon monoxide, fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.009542480650457557;4.059451905276715e-07;'Sulfur hexafluoride' (kilogram, None, ('air',))
0.008094729864279244;-0.008094729864279246;'Carbon dioxide, to soil or biomass stock' (kilogram, None, ('soil',))
0.007592182806062568;0.0018688910643619527;'Carbon monoxide, fossil' (kilogram, None, ('air', 'urban air close to ground'))
-0.003071913538677448;-1.1600882478435729e-05;'Dinitrogen monoxide' (kilogram, None, ('air',))
0.0022910380127694413;3.4577633398954164e-07;'Methane, tetrafluoro-, R-14' (kilogram, None, ('air',))
0.001738079252115427;0.0006977435953565461;'Carbon monoxide, non-fossil' (kilogram, None, ('air', 'urban air close to ground'))
0.0010328604693703475;8.331130029030274e-08;'Methane, trifluoro-, HFC-23' (kilogram, None, ('air', 'non-urban air or from high stacks'))
0.0007285113384258149;2.452900066369267e-05;'Methane, fossil' (kilogram, None, ('air',))
0.00035553169977241983;3.196223194598128e-08;'Ethane, hexafluoro-, HFC-116' (kilogram, None, ('air', 'urban air close to ground'))
0.0003265080885243299;1.8502925710612633e-07;'Methane, chlorodifluoro-, HCFC-22' (kilogram, None, ('air', 'non-urban air or from high stacks'))
