LCIA score; Supply amount; Activity
-3.4622082190023487; -7.0217530552973635; 'treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill' (kilogram, Europe without Switzerland, None)
2.329285681357615; 39.44816101204749; 'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)
1.8466644460777843; 23.641738239488244; 'heat production, light fuel oil, at industrial furnace 1MW' (megajoule, RoW, None)
1.8221627741113793; 15.76469216463926; 'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)
-1.5197479191170546; -62.000348779133375; 'treatment of wastewater, average, wastewater treatment' (cubic meter, Europe without Switzerland, None)
-1.2748936483935387; -192.24922039068895; 'treatment of sewage sludge, 97% water, WWT, WW, average, landfarming' (kilogram, Europe without Switzerland, None)
-0.7600959454690097; -0.3257392821940405; 'treatment of waste plastic, mixture, municipal incineration' (kilogram, RoW, None)
-0.6283361238495042; -0.40592112280503384; 'electricity production, lignite' (kilowatt hour, UA, None)
-0.6259929595546861; -0.7441832720822771; 'clinker production' (kilogram, Europe without Switzerland, None)
-0.6153505850385474; -10.505219122112385; 'transport, freight, lorry >32 metric ton, EURO6' (ton kilometer, RER, None)
-0.6139396715442622; -5.252609561056192; 'transport, freight, lorry 16-32 metric ton, EURO6' (ton kilometer, RER, None)
0.5423743314192557; 0.9893667402363163; 'heat and power co-generation, hard coal' (megajoule, PL, None)
-0.4941052911064294; -1.3572681451985582; 'electricity production, natural gas, combined cycle power plant' (kilowatt hour, UA, None)
-0.4633788118974994; -8.15921494723074; 'treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration' (kilogram, Europe without Switzerland, None)
-0.3878337307086486; -1.0031531007888752; 'electricity production, natural gas, combined cycle power plant' (kilowatt hour, RoW, None)
0.38177388952015756; 0.03627534630979614; 'heat and power co-generation, lignite' (megajoule, PL, None)
0.31081395539235723; 0.3180572441014377; 'heat and power co-generation, lignite' (megajoule, RoW, None)
-0.30579256841086216; -0.9380657068430197; 'electricity production, natural gas, combined cycle power plant' (kilowatt hour, PL, None)
-0.28841712763857974; -0.3375173781902816; 'pig iron production' (kilogram, RoW, None)
-0.2513912083204834; -0.168885545673228; 'propylene production' (kilogram, RoW, None)
-0.22018335831072125; -6.2694576533502095; 'treatment of biowaste, industrial composting' (kilogram, RoW, None)
-0.2063612622708949; -0.17249036073676344; 'treatment of waste graphical paper, sanitary landfill' (kilogram, RoW, None)
-0.18711521742900744; -2.49708657257166; 'diesel, burned in building machine' (megajoule, GLO, None)
-0.1856233385196647; -0.5252627679484012; 'transport, freight, lorry 3.5-7.5 metric ton, EURO6' (ton kilometer, RER, None)
0.18493579184619605; 0.02390112381722438; 'hydrogen cyanide production' (kilogram, RoW, None)
